Story Title,Date Published,Story Text,Related Service,Summary
Good practice,5 hours ago,Very pleasant doctor who listened to all my concerns.  Went through treatment plan and to return in 6 weeks to see how I am coping.,About:Willow Bank SurgeryWillow Bank SurgeryStoke on TrentST3 6AB,How did you feel? listened to not listened to
Great practice,yesterday,"This is by far the best practice I have been registered to since locating to Stoke on Trent nearly 20 years ago. They are efficient yet thorough, friendly and considerate. And most importantly I can ring up and get an appointment! This was a pretty new experience in itself. I can not praise this practice enough.",About:Adderley Green SurgeryAdderley Green SurgeryStoke on TrentST3 1EQhttps://www.adderleygreensurgery.nhs.uk/,How did you feel? praise
Admitted to osprey ward,yesterday,"I was taken into hospital after a serious attempt on my life. I have had multiple attempts but thankfully never been successful. I felt helpless and as though there was no other solution than to end my life.I feel listened to and understood by staff who have been attentive, friendly, helpful and caring. The cleanliness of the word and the food have also been good.I felt there could have been more explanation of procedures, and more available to do to pass the time.",About:Rotherham Swallownest Court Inpatient Unit / Osprey wardRotherham Swallownest Court Inpatient Unit Osprey wardSheffieldS26 4TH,What was good? attentive caring cleanliness food friendly helpful staff What could be improved? more explanation of procedures more to do to pass time How did you feel? cared for hopeful listened to releived safe understood
My husband's treatment,yesterday,"My husband recently attended Anstruther Medical Practice for BP check and blood test. He saw Julie, a Practice Nurse, and she was very cheery, friendly and professional. A very relaxing visit. Thank you, Julie.Also since my husband was diagnosed with a serious condition he has had exemplary attention at Anstruther Medical Practice from Dr Sommerville,  and the Reception Staff are all very polite and helpful.Dr Francis, Cardiologist, at Victoria Hospital Kirkcaldy, in charge of my husband's care, is an outstanding specialist and my husband could not be in better hands.Our appreciation to everyone.Thank you.",About:General practices in FifeGeneral practices in FifeKY7 5LTVictoria Hospital / CardiologyVictoria Hospital CardiologyKY2 5AH,What was good? cardiologist cheery friendly GP helpful nurse polite professional How did you feel? appreciative in good hands relaxed thankful
It has taught me that I should never be too busy to think about myself,yesterday,"I was invited to take part in a course of rehabilitation to improve my exercise in order to improve my well being and keep me motivated and moving .I must admit at the beginning I wasn’t keen on The idea , I already have a busy life , working , active grandparent etc although I struggled with stairs and keeping up .. even making the bed . I didn’t think it would help much at all , and didn’t like the thought of a bi weekly class . Why would I need this ?After a six week course twice a week …it has taught me that I should never be too busy to think about myself , it has pushed me to think about how exercise and toning can really help . I can do it , the team were thoughtful and motivating, and kind . Really positive ending , I feel much better and can now walk further and faster and with confidence . You don’t need to sit in a chair and get progressively worse . I’m hoping that in a way it’s saved my life . I’m now starting a local exercise class and feeling that this help will be the start of prolonging my life",About:Specialist Therapy Services / Pulmonary Rehab (Rushcliffe)Specialist Therapy Services Pulmonary Rehab (Rushcliffe)NG12 5JU,What was good? great team kindness thoughtful How did you feel? motivated positive
"Caring, polite, supportive and professional",yesterday,"As always the staff are caring, polite, supportive and professional. I cannot recommend this centre highly enough. If only the rest of the NHS could be bought up to this high standard of service.",About:Sexual Health Services - Shropshire (Open Clinic)Sexual Health Services - Shropshire (Open Clinic)SY1 4RQhttps://openclinic.org.uk/clinics/severn-fields-health-village/,What was good? caring polite professional staff How did you feel? supported
Travel vaccinations,yesterday,Travel vaccinations was easy and very kind nurses,About:Adult Health & Support Services / Vaccinations ServiceAdult Health & Support Services Vaccinations ServiceML3 0AA,What was good? friendly kindness nurses staff
What an amazing experience,yesterday,What an amazing experience. From arriving at the hospital to discharge.All staff were amazing. Nothing was too much trouble for any of them. All across the board.Also very pleasant and informative.,About:New Stobhill Hospital / Trauma & orthopaedicsNew Stobhill Hospital Trauma & orthopaedicsG21 3UW,What was good? amazing staff nothing too much trouble very informative How did you feel? cared for informed
Wonderful staff working in really challenging conditions,yesterday,"I am from Newcastle and got bad abdominal pain. I got an appt at the Urgent Care centre with a GP who got me through to Urgent Care within 30 minutes.I was treated in such a thorough, expert and compassionate way by all the doctors, nurses and other staff. They were superb from start to finish. Both my wife and I were amazed compared to previous experiences we've had back home.A huge thank you to the wonderful staff working in really challenging conditions.",About:Scarborough General Hospital / Accident and emergencyScarborough General Hospital Accident and emergencyScarboroughYO12 6QL,What was good? compassionate doctors nurses seen quickly staff thorough How did you feel? cared for listened to relieved thankful
"Friendly, kind, helpful and professional",yesterday,"Planned admission for surgery.From the moment I arrived at the hospital every member of staff I came in contact with were friendly, kind, helpful and professional, nothing was too much trouble and I felt very well looked after .All the staff were wonderful and I was very well cared for during my 2 night stay on Wynard Ward",About:Royal Devon & Exeter Hospital (Wonford) / GynaecologyRoyal Devon & Exeter Hospital (Wonford) GynaecologyEX2 5DW,What was good? friendly helpful kindness professional staff How did you feel? well cared for well looked after
